Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Trey Lyles;1247.2;562;87;300;66;64;27;31
Reggie Bullock;2364.5;561;151;283;108;36;54;13
Seth Curry;1210.7;561;94;100;99;51;36;7
Brandon Clarke;1090.1;559;1;310;72;55;34;37
Dorian Finney-Smith;2008.8;551;114;316;100;62;55;36
Jose Alvarado;1310;550;83;141;186;81;67;10
Josh Green;1539.2;546;68;182;103;72;42;5
Luke Kennard;1315.1;546;133;158;91;46;32;5
Jordan Nwora;1188.1;542;86;229;88;66;24;14
Troy Brown Jr.;1859.8;541;107;308;95;49;59;16
Devonte' Graham;1338.4;539;119;122;196;53;45;16
Nick Richards;1217.7;532;1;416;38;59;11;71
Josh Okogie;1350.6;529;66;251;105;63;56;34
Jalen Suggs;1245.9;524;66;161;155;94;67;27
Hamidou Diallo;995.9;522;5;194;55;71;53;16
Terrence Ross;1330.5;522;95;154;95;43;35;10
Drew Eubanks;1583.7;518;7;418;103;67;40;102
Tre Mann;1183.4;517;81;155;120;62;40;11
Sam Hauser;1289.9;512;140;204;71;30;29;21
Kevin Love;1239.5;509;99;399;116;70;16;12
Precious Achiuwa;1140.5;508;29;328;50;59;31;30
Dwight Powell;1457.9;506;0;314;69;65;48;26
Marvin Bagley III;990.5;504;19;269;36;46;19;30
Khris Middleton;800.8;497;51;140;163;71;23;5
Obi Toppin;1050.5;497;85;187;66;38;23;12
Kendrick Nunn;963.4;496;79;109;90;66;28;7
Cameron Payne;968.3;493;68;106;214;81;33;8
Taurean Prince;1192.5;493;74;132;84;69;28;15
Isaac Okoro;1652.6;490;62;187;87;42;56;30
Aaron Wiggins;1297.4;479;48;211;80;56;39;15
Nicolas Batum;1709.6;478;124;299;121;50;54;44
Dennis Smith Jr.;1389.8;474;24;167;261;82;75;25
Ochai Agbaji;1209.2;467;81;121;67;41;16;15
David Roddy;1258.5;466;65;193;59;57;29;19
Pat Connaughton;1442.7;466;109;283;77;33;37;11
Trendon Watford;1181.6;459;25;238;130;71;32;12
Jock Landale;978.5;456;21;280;68;59;16;30
Isaiah Jackson;1042.3;455;2;282;51;51;31;93
Davion Mitchell;1447;450;63;105;185;62;44;15
James Wiseman;867.2;450;4;267;30;51;7;27
Victor Oladipo;1105.6;449;70;128;146;87;57;12
Larry Nance Jr.;1380.8;441;14;354;119;42;56;37
Jeff Green;1091.1;437;30;144;69;46;18;17
Mitchell Robinson;1588.8;435;0;555;53;41;56;109
Terence Davis;841;431;89;139;67;53;43;12
Xavier Tillman;1180.1;429;4;307;96;44;58;29
Cory Joseph;1227.4;427;70;106;217;56;34;9
Kenrich Williams;1206;425;50;261;105;32;45;14
Jaden Hardy;708.4;420;63;89;65;46;17;7
Anthony Lamb;1195;415;73;215;96;54;28;20
Kevin Knox II;951.7;415;65;177;33;50;24;12
Patrick Beverley;1816.5;415;80;247;194;60;63;41
Jordan Goodwin;1105.4;407;38;205;168;57;58;26
Isaiah Hartenstein;1628.2;406;8;536;102;66;53;64
Andre Drummond;849.1;399;0;444;33;75;45;27
Oshae Brissett;1083.2;398;48;218;44;34;33;13
Gary Harris;1184.4;397;94;98;59;28;45;12
Jalen Johnson;1041.6;395;30;282;83;41;38;34
Cam Reddish;989.6;387;45;88;57;47;39;14
Mark Williams;828;387;0;304;18;40;28;45
John Wall;754.7;386;33;92;178;80;27;12
Mike Muscala;945.1;383;81;203;50;23;15;24
Will Barton;993;379;66;137;112;48;28;13
Edmond Sumner;736.2;378;31;79;68;50;31;10
Alex Caruso;1575.4;374;55;196;193;77;98;46
Josh Christopher;786.2;372;21;71;73;60;33;15
Wenyen Gabriel;1023.8;372;10;286;36;46;26;35
Delon Wright;1221.2;369;41;180;194;44;92;17
JaMychal Green;796.7;366;42;205;51;52;25;23
Goran Dragic;870;365;52;81;151;63;13;4
John Konchar;1493.8;364;60;310;100;37;77;25
Nickeil Alexander-Walker;883.9;363;61;101;108;55;32;21
Chris Duarte;897.2;362;55;115;64;41;25;9
Dario Saric;806;362;45;207;74;55;20;7
Steven Adams;1133.3;361;0;485;97;79;36;46
Christian Braun;1181.1;360;34;181;59;35;41;17
Nassir Little;976.1;359;58;141;50;36;20;20
Isaiah Livers;1198.7;346;74;143;41;30;28;28
Landry Shamet;806.9;346;75;67;93;36;26;5
Lamar Stevens;1120.5;328;30;207;33;27;27;19
Simone Fontecchio;765.8;328;63;86;42;39;15;8
Mo Bamba;768.4;323;48;225;46;30;13;43
Yuta Watanabe;927.8;322;60;141;48;22;25;17
